brand,category,style,sku,name,upc,item_cost,selling_price,order_id,order_date,month,year,month_year,site_name,tax,shipping,shipping_tax,ship_to_city,ship_to_zip,account_name,parent_sku,distribution_center,qty_sold,order_amount
SHOEI,Shields,,01-422,Shoei CX-1V SHIELD HALF TONE SMK,,25.29,61.99,111-7749606-0046621,5/21/2019,May,2019,May -2019,Amazon Seller Central - US,0,0,0,Houston,77072-5200,Motorcycle Dot Inc. - US,,HelmetHouse HelmetHouseMain 282-980,1,42.94
SHOEI,Accessories,,01-514,Shoei CX-1/1V PINLOCK LENS L.SMOKE,,15.11,29.99,13-03609-80702,7/15/2019,Jul,2019,Jul -2019,eBay Motors Store or Fixed Price (BIN) US,0,0,0,durango,81301-4744,Motorcycle Dot Inc. - US,Parent-CX-01,HelmetHouse HelmetHouseMain 282-980,1,29.99
SHOEI,Accessories,,01-514,Shoei CX-1/1V PINLOCK LENS L.SMOKE,,15.11,29.99,302917798402-1623689854020,4/14/2019,Apr,2019,Apr -2019,eBay Motors Store or Fixed Price (BIN) US,0,14.99,0,Brandon,39047,Motorcycle Dot Inc. - US,Parent-CX-01,HelmetHouse HelmetHouseMain 282-980,1,44.98
SHOEI,Helmets,Racing,0107-0132-07,Shoei RF-SR MATTE BLUE XLG,4512048519360,265.07,399,302950874122-1626298316020,4/22/2019,Apr,2019,Apr -2019,eBay Motors Store or Fixed Price (BIN) US,0,0,0,Port Huron,48060-1755,Motorcycle Dot Inc. - US,RF-SR-Parent,HelmetHouse HelmetHouseMain 282-980,1,399
SHOEI,Helmets,Racing,0107-0137-05,Shoei RF-SR DEEP MATTE GREY MED,4512048519223,265.07,399,112-1030396-0581843,11/22/2018,Nov,2018,Nov -2018,Amazon Seller Central - US,26.43,0,0,Dumont,7628,Motorcycle Dot Inc. - US,RF-SR-Parent,HelmetHouse HelmetHouseMain 282-980,1,425.43
SHOEI,Helmets,Racing,0109-0117-06,Shoei RF-1200 ANTHRACITE LRG,4512048404802,333.68,498.99,114-5256693-9514644,11/20/2018,Nov,2018,Nov -2018,Amazon Seller Central - US,34.8,0,0,MONTECITO,93108-2801,Motorcycle Dot Inc. - US,RF-1200-Solid-Parent,HelmetHouse HelmetHouseMain 282-980,1,483.89
SHOEI,Helmets,,0116-0109-07,Shoei NEOTEC II WHITE XLG,4512048531126,464.84,699,113-2705373-6658608,3/30/2020,Mar,2020,Mar -2020,Amazon Seller Central - US,57.67,0,0,BAY POINT,94565-1433,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,756.67
SHOEI,Helmets,,0116-0132-07,Shoei NEOTEC II MATTE BLUE MET XLG,4512048530761,464.84,699,302917771167-1572148588020,11/15/2018,Nov,2018,Nov -2018,eBay Motors Store or Fixed Price (BIN) US,0,0,0,Colorado Springs,80907,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,699.99
SHOEI,Helmets,,0116-0132-08,Shoei NEOTEC II MATTE BLUE MET XXL,4512048530778,464.84,699,111-4345187-8473820,2/16/2019,Feb,2019,Feb -2019,Amazon Seller Central - US,0,0,0,FRANKLIN,53132-2708,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,699
SHOEI,Helmets,,0116-0135-06,Shoei NEOTEC II MATTE BLACK LRG,4512048530990,464.84,699,114-5628301-1276215,11/21/2018,Nov,2018,Nov -2018,Amazon Seller Central - US,0,0,0,BRYAN,77808-8634,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,629.1
SHOEI,Helmets,,0116-1003-06,Shoei NEOTEC II EXCURSION TC-3 LRG,4512048531232,531.34,799,302707244542-1555320884020,9/27/2018,Sep,2018,Sep -2018,eBay Motors Store or Fixed Price (BIN) US,0,0,0,Highland,12528,Motorcycle Dot Inc. - US,Neotec-II-Parent,Motorcycle Dot Inc. - San Juan Capistrano,1,699.99
SHOEI,Helmets,,0116-1003-07,Shoei NEOTEC II EXCURSION TC-3 XLG,4512048531249,531.34,799,114-2267713-7761067,10/12/2019,Oct,2019,Oct -2019,Amazon Seller Central - US,0,0,0,SAINT PETERSBURG,33704-2742,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,699
SHOEI,Helmets,,0116-1005-04,Shoei NEOTEC II EXCURSION TC-5 SML,4512048531270,531.34,799,302917771757-1576749051020,11/27/2018,Nov,2018,Nov -2018,eBay Motors Store or Fixed Price (BIN) US,0,0,0,Arlington,85322-8160,Motorcycle Dot Inc. - US,Neotec-II-Parent,Motorcycle Dot Inc. - San Juan Capistrano,1,699.99
SHOEI,Helmets,,0116-1005-04,Shoei NEOTEC II EXCURSION TC-5 SML,4512048531270,531.34,799,302917771757-1579715318020,12/5/2018,Dec,2018,Dec -2018,eBay Motors Store or Fixed Price (BIN) US,0,0,0,Doral,33122-1633,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,699.99
SHOEI,Helmets,,0116-1005-06,Shoei NEOTEC II EXCURSION TC-5 LRG,4512048531294,531.34,799,111-3849744-9261809,10/14/2019,Oct,2019,Oct -2019,Amazon Seller Central - US,60.81,0,0,OAK HARBOR,98277-3550,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,759.81
SHOEI,Helmets,,0116-1005-06,Shoei NEOTEC II EXCURSION TC-5 LRG,4512048531294,531.34,799,112-8281003-9054608,10/11/2019,Oct,2019,Oct -2019,Amazon Seller Central - US,57.67,0,0,HIDALGO,78557-2582,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,756.67
SHOEI,Helmets,,0116-1005-06,Shoei NEOTEC II EXCURSION TC-5 LRG,4512048531294,531.34,799,113-8164140-0966624,10/18/2019,Oct,2019,Oct -2019,Amazon Seller Central - US,62.04,0,0,SPRINGFIELD GARDENS,11413-4056,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,761.04
SHOEI,Helmets,,0116-1005-07,Shoei NEOTEC II EXCURSION TC-5 XLG,4512048531300,531.34,799,302917771757-1573186183020,11/18/2018,Nov,2018,Nov -2018,eBay Motors Store or Fixed Price (BIN) US,0,0,0,Boca Raton,33432-8534,Motorcycle Dot Inc. - US,Neotec-II-Parent,HelmetHouse HelmetHouseMain 282-980,1,699.99
